"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"Zehnder Group","ComfoHeat 5-22 kW","150","188","A+++","A++","water-water","23","","","6.1","3.6","","","","","","yes","","","46","R410A","106","60","71","","","","CH-HP-01054","https://www.zehndergroup.com"
"CTA AG","Optiheat OH 1-22e","134","188","A+++","A++","earth-water","","","21.5","","","","","","4.5","2.7","no","4.6","","42","R410A","126","53","70","","","","CH-HP-00501","http://www.cta.ch/de-ch/waerme/sole-wasser/1219/?oid=1590&lang=de"
"Vaillant GmbH","flexoTHERM exclusive VWF 197/4","142","187","A+++","A++","earth-water","","","19.6","","","","","","4.5","3.2","no","","","48","R410A","118","60","60","","","","CH-HP-00589","http://www.vaillant.ch"
"Stiebel Eltron AG","WPL 25 AC","144","187","A++","A++","air-water","","8.33","","","","4.17","3.2","2.42","","","yes","","54","","R410A","","","","105","149","59","CH-HP-00465","https://www.stiebel-eltron.ch"
"CTA AG","Optipro OP 230ed","147","187","A+++","A+++","earth-water","","","230","","","","","","4.7","2.9","no","4.8","","60","R410A","198","126","86","","","","CH-HP-00956","http://www.cta.ch"
"CTA AG","Aeroheat AH CN I 9a","160","187","A+++","A++","air-water","","8.2","","","","4.61","3.35","2.13","","","yes","","59","","R290","93","132","51","","","","CH-HP-00822","http://www.cta.ch"
"Domotec AG","HPSU HT-BU 14","140","186","A+++","A++","air-water","","9.91","","","","4.09","3.06","2.29","","","yes","","54","","R32","84","44","39","101","127","54","","https://domotec.ch/"
"Domotec AG","HPSU HT-BU 16","140","186","A+++","A++","air-water","","11.33","","","","4.09","3.06","2.29","","","yes","","54","","R32","84","44","39","101","127","54","","https://domotec.ch/"
"Domotec AG","HPSU HT-BU 18","140","186","A+++","A++","air-water","","12.74","","","","4.09","3.06","2.29","","","yes","","54","","R32","84","44","39","101","127","54","","https://domotec.ch/"
"Stiebel Eltron AG","WPL 20 A","143","185","A++","A++","air-water","","6.83","","","","4","3.3","2.62","","","yes","","54","","R410A","","","","105","149","59","CH-HP-00465","https://www.stiebel-eltron.ch"
"CTA AG","Optiheat OH 1-33e","125","185","A+++","A++","earth-water","","","32.9","","","","","","4.6","2.6","no","4.82","","45","R410A","126","53","70","","","","CH-HP-00501","http://www.cta.ch"
"CTA AG","Optiheat OH 1-65e","128","185","A+++","A++","earth-water","","","64","","","","","","4.7","2.8","no","4.83","","56","R410A","124","118","76","","","","CH-HP-00472","http://www.cta.ch"
